time,user,hostname,pipeline,resize,detector_pre,detector_model,detector_post,extract_roi,landmark_pre,landmark_model,landmark_post,annotate,total,fps
2024-10-21 21:29:16.634281,root,maaxboardosm93,blaze_tflite,0.012769001000002334,0.00047109900000208427,0.00873728599999879,0.01399549900000352,0.024226291999994487,0.0023028250000010075,0.013125887999997587,0.0033193159999953536,0.005127084000001503,0.08407428999999667,11.894242579985388
2024-10-21 21:36:53.424515,root,maaxboardosm93,blaze_tflite,0.0066578639999761435,0.001912211999979263,0.011876194000024043,0.0350318200000288,0.0,0.0,0.0,0.0,0.0,0.05547809000000825,18.025133886185543
2024-10-21 21:36:53.456753,root,maaxboardosm93,blaze_tflite,0.006211479000000963,0.00022958899995728643,0.008557574999997541,0.006379233000018303,0.0,0.0,0.0,0.0,0.0,0.021377875999974094,46.77733185472737
2024-10-21 21:36:53.485796,root,maaxboardosm93,blaze_tflite,0.006059642000025178,0.000222255000039695,0.008002019999992172,0.0058012190000340524,0.0,0.0,0.0,0.0,0.0,0.020085136000091097,49.78806217669945
2024-10-21 21:36:53.516873,root,maaxboardosm93,blaze_tflite,0.006265354999982264,0.00023229700002502796,0.00933246799996823,0.006402233000017077,0.0,0.0,0.0,0.0,0.0,0.0222323529999926,44.979494523154294
2024-10-21 21:36:53.545271,root,maaxboardosm93,blaze_tflite,0.005953139000041574,0.00022583800000575138,0.008218525999950543,0.006238021000001481,0.0,0.0,0.0,0.0,0.0,0.02063552399999935,48.46012148758769
2024-10-21 21:36:53.575685,root,maaxboardosm93,blaze_tflite,0.005896554000003107,0.00022083900000779977,0.008026563000044007,0.007478341000023647,0.0,0.0,0.0,0.0,0.0,0.02162229700007856,46.248555368394335
2024-10-21 21:36:53.603876,root,maaxboardosm93,blaze_tflite,0.005791427000019667,0.00023179700002629033,0.008291485999961878,0.006017724000003,0.0,0.0,0.0,0.0,0.0,0.020332434000010835,49.18250318675408
2024-10-21 21:36:53.632756,root,maaxboardosm93,blaze_tflite,0.005914512999993349,0.0002299220000168134,0.008873832000006132,0.006328730999996424,0.0,0.0,0.0,0.0,0.0,0.021346998000012718,46.84499431720583
2024-10-21 21:36:53.667683,root,maaxboardosm93,blaze_tflite,0.0049804490000155965,0.0007061420000127328,0.008804623000003176,0.006381065999960356,0.0,0.0,0.0,0.0,0.0,0.02087227999999186,47.91043431768786
2024-10-21 21:36:53.712315,root,maaxboardosm93,blaze_tflite,0.006272479999950065,0.00021646400000463473,0.008275109999999586,0.006269396999982746,0.0,0.0,0.0,0.0,0.0,0.02103345099993703,47.54331564530204
2024-10-21 21:36:53.753189,root,maaxboardosm93,blaze_tflite,0.0050546599999847786,0.00028096500000174274,0.01050182900002028,0.0065685289999919405,0.0,0.0,0.0,0.0,0.0,0.02240598299999874,44.63093629947216
2024-10-21 21:36:53.790625,root,maaxboardosm93,blaze_tflite,0.005094578000012007,0.00046992799997269685,0.008237651000001733,0.005884971000000405,0.0,0.0,0.0,0.0,0.0,0.019687127999986842,50.79461056994541
2024-10-21 21:36:53.834592,root,maaxboardosm93,blaze_tflite,0.00532820799998035,0.0004929699999820514,0.008202151000034519,0.005796843999974044,0.0,0.0,0.0,0.0,0.0,0.019820172999970964,50.45364639357411
2024-10-21 21:36:53.884180,root,maaxboardosm93,blaze_tflite,0.00618214500002523,0.00021875499999168824,0.01226366200000939,0.010256531000038649,0.0,0.0,0.0,0.0,0.0,0.028921093000064957,34.576839817145014
2024-10-21 21:36:53.925365,root,maaxboardosm93,blaze_tflite,0.009513097000024118,0.0002242560000240701,0.008321152999997139,0.009552972999983922,0.0,0.0,0.0,0.0,0.0,0.02761147900002925,36.216821272013014
2024-10-21 21:36:53.961859,root,maaxboardosm93,blaze_tflite,0.009966148999978941,0.00022550599999249243,0.00825298499995597,0.00559117199998127,0.0,0.0,0.0,0.0,0.0,0.024035811999908674,41.60458569087658
2024-10-21 21:36:53.998705,root,maaxboardosm93,blaze_tflite,0.005375251000032222,0.0004928449999965778,0.008177858000010474,0.0058903460000010455,0.0,0.0,0.0,0.0,0.0,0.01993630000004032,50.15975883177809
2024-10-21 21:36:54.042545,root,maaxboardosm93,blaze_tflite,0.005383333999986917,0.0004903870000134702,0.008098856000003707,0.005810386000007384,0.0,0.0,0.0,0.0,0.0,0.019782963000011478,50.54854523053093
2024-10-21 21:36:54.083338,root,maaxboardosm93,blaze_tflite,0.0056002140000259715,0.00021671300004300065,0.008372946000008596,0.005981181000038305,0.0,0.0,0.0,0.0,0.0,0.020171054000115873,49.57599141791279
2024-10-21 21:36:54.122365,root,maaxboardosm93,blaze_tflite,0.0049634910000122545,0.00041263499997512554,0.008429946999967797,0.005769634999978734,0.0,0.0,0.0,0.0,0.0,0.01957570799993391,51.08372070135987
2024-10-21 21:36:54.166489,root,maaxboardosm93,blaze_tflite,0.005188037999971584,0.00048451100002466774,0.008249692999982017,0.005700217000025987,0.0,0.0,0.0,0.0,0.0,0.019622459000004255,50.962012457245194
2024-10-21 21:36:54.206406,root,maaxboardosm93,blaze_tflite,0.005407251999997698,0.0002247549999765397,0.008094773000038913,0.0055130040000221925,0.0,0.0,0.0,0.0,0.0,0.019239784000035343,51.975635485209345
2024-10-21 21:36:54.243227,root,maaxboardosm93,blaze_tflite,0.00545400199996493,0.00028029800000695104,0.008392488000026788,0.005852678999985983,0.0,0.0,0.0,0.0,0.0,0.019979466999984652,50.051385254710155
